만족도,단어,빈도수
314,만족,좀더,82
315,만족,눈,82
316,만족,발바닥,80
317,만족,슬리퍼,80
318,만족,지퍼,80
319,만족,베이지색,79
320,만족,예정,79
321,만족,주,78
322,만족,손잡이,78
323,만족,추가,78
324,만족,화장,77
325,만족,그,77
326,만족,몽블랑,77
327,만족,전체,77
328,만족,슬링,77
329,만족,팔찌,76
330,만족,밴드,76
331,만족,신하,76
332,만족,업,75
333,만족,시계,75
334,만족,앞코,75
335,만족,여유,75
336,만족,아담,75
337,만족,구멍,75
338,만족,영,75
339,만족,행운,75
340,만족,시,74
341,만족,우선,73
342,만족,기,73
343,만족,교환,73
344,만족,평이,73
345,만족,영수증,73
346,만족,이틀,72
347,만족,무,72
348,만족,지고,72
349,만족,답변,72
350,만족,문자,72
351,만족,캐,72
352,만족,확인,71
353,만족,구찌,71
354,만족,덧신,71
355,만족,에코,71
356,만족,후,70
357,만족,나중,70
358,만족,문제,70
359,만족,본드,70
360,만족,돈,70
361,만족,거리,70
362,만족,건,69
363,만족,고,69
364,만족,바세린,68
365,만족,반돈,68
366,만족,무료,68
367,만족,왜,67
368,만족,애,67
369,만족,사실,67
370,만족,새,67
371,만족,정성,67
372,만족,미리,66
373,만족,일정,66
374,만족,달라,66
375,만족,재,66
376,만족,이제,66
377,만족,사용,66
378,만족,검은색,65
379,만족,보지,65
380,만족,다행,65
381,만족,호,65
382,만족,로,65
383,만족,맘에듭니,65
384,만족,세,65
385,만족,아이,65
386,만족,득템,65
387,만족,정,65
388,만족,투명,65
389,만족,파우치,64
390,만족,온,64
391,만족,요조,64
392,만족,칸,64
393,만족,조카,64
394,만족,니,63
395,만족,해도,63
396,만족,깔창,62
397,만족,두,61
398,만족,보이지,61
399,만족,한눈,61
400,만족,안쪽,60
401,만족,삿는데,60
402,만족,애매,60
403,만족,핸드폰,60
404,만족,자꾸,59
405,만족,신분,59
406,만족,젤리,59
407,만족,항상,59
408,만족,쪽,59
409,만족,전혀,58
410,만족,여성,58
411,만족,매장,58
412,만족,둘,58
413,만족,보석,58
414,만족,비닐,58
415,만족,속,57
416,만족,여행,57
417,만족,백도,57
418,만족,무게,57
419,만족,샌들,57
