만족도,단어,빈도수
313,만족,금방,37
314,만족,실제,37
315,만족,삿,37
316,만족,함,37
317,만족,득템,37
318,만족,시,37
319,만족,부담,37
320,만족,계속,37
321,만족,낙하,36
322,만족,음,36
323,만족,원래,36
324,만족,후기,36
325,만족,낙,36
326,만족,허벅지,36
327,만족,냉감,36
328,만족,배,36
329,만족,전체,35
330,만족,마감,35
331,만족,빨래,35
332,만족,언니,35
333,만족,옐로우,35
334,만족,덜,35
335,만족,반팔,34
336,만족,발목,34
337,만족,비치,34
338,만족,퍼플,34
339,만족,롱,34
340,만족,지연,34
341,만족,오히려,34
342,만족,우선,34
343,만족,겨울,34
344,만족,기도,34
345,만족,다리,34
346,만족,모시,34
347,만족,스,33
348,만족,후회,33
349,만족,내,33
350,만족,블라우스,33
351,만족,움,33
352,만족,박,33
353,만족,남자,33
354,만족,나시,33
355,만족,애매,32
356,만족,날씬해보,32
357,만족,고무줄,32
358,만족,노란색,32
359,만족,못,31
360,만족,왜,31
361,만족,신경,31
362,만족,그,31
363,만족,셔츠,31
364,만족,포장,31
365,만족,골반,31
366,만족,루즈핏,31
367,만족,타,31
368,만족,벌,31
369,만족,평이,31
370,만족,베이직,31
371,만족,전혀,30
372,만족,남아,30
373,만족,이구,30
374,만족,칼라,30
375,만족,실물,30
376,만족,쨍,30
377,만족,내내,30
378,만족,밑,29
379,만족,입다,29
380,만족,처리,29
381,만족,두번째,29
382,만족,번,29
383,만족,다운,29
384,만족,실밥,29
385,만족,물건,29
386,만족,끈,29
387,만족,회색,29
388,만족,쫀쫀,28
389,만족,스트링,28
390,만족,보람,28
391,만족,니,28
392,만족,아이템,28
393,만족,중,28
394,만족,질감,28
395,만족,오오,27
396,만족,임산부,27
397,만족,알,27
398,만족,신분,27
399,만족,봐,27
400,만족,스트라이프,26
401,만족,프린팅,26
402,만족,센치,26
403,만족,아기,26
404,만족,검은색,26
405,만족,이제,26
406,만족,제일,26
407,만족,욤,26
408,만족,만,26
409,만족,의사,26
410,만족,항상,26
411,만족,뭔가,26
412,만족,만원,26
413,만족,단정,25
414,만족,드,25
415,만족,괜,25
416,만족,연휴,25
417,만족,그게,25
418,만족,이뿌,25
419,만족,길,25
420,만족,마,25
421,만족,레깅스,25
422,만족,선,25
423,만족,개월,25
424,만족,맛,25
425,만족,멋,24
426,만족,아빠,24
427,만족,겨,24
428,만족,무료,24
429,만족,몸무게,24
430,만족,인,24
431,만족,매치,24
432,만족,미리,23
433,만족,건,23
434,만족,여자,23
435,만족,스탈,23
436,만족,찰랑,23
437,만족,먼저,23
438,만족,감동,23
439,만족,사각,23
440,만족,스판,23
441,만족,만큼,23
442,만족,손편지,23
443,만족,가장,23
444,만족,무,23
445,만족,일주일,23
446,만족,별,23
447,만족,디,23
448,만족,빨강,23
449,만족,성도,22
450,만족,필수,22
451,만족,살걸,22
452,만족,지고,22
453,만족,그것,22
454,만족,무릎,22
455,만족,옆,22
456,만족,동생,22
457,만족,쉬,22
458,만족,힘,22
459,만족,보임,22
460,만족,여신,22
461,만족,려,22
462,만족,이뽀,21
463,만족,치수,21
464,만족,기,21
465,만족,캐,21
466,만족,소라,21
467,만족,상태,21
468,만족,얼른,21
469,만족,대요,21
470,만족,빛,21
471,만족,물,21
472,만족,옹,21
473,만족,모양,21
474,만족,싸구려,21
475,만족,오브,21
476,만족,과,21
477,만족,이틀,21
478,만족,블루,20
479,만족,촌,20
480,만족,삼각팬티,20
481,만족,체형,20
482,만족,박음질,20
483,만족,박스,20
484,만족,다행,20
485,만족,찍,20
486,만족,뱃살,20
487,만족,사려,20
488,만족,품절,20
489,만족,제스,20
490,만족,학년,20
491,만족,점,20
492,만족,첨,20
493,만족,슬랙스,19
494,만족,사면,19
495,만족,피부,19
496,만족,올여름,19
497,만족,워낙,19
498,만족,각,19
499,만족,상의,19
500,만족,삿는데,19
501,만족,바람,19
502,만족,사이트,19
503,만족,해도,19
504,만족,우리,19
505,만족,시스루,19
506,만족,종아리,19
507,만족,이정,19
508,만족,문자,19
509,만족,시한,19
510,만족,가족사진,19
511,만족,조,19
512,만족,젤,19
513,만족,세탁기,19
514,만족,템,18
515,만족,욥,18
516,만족,고해,18
517,만족,단추,18
518,만족,프릴,18
519,만족,땀,18
520,만족,갠,18
521,만족,중간,18
522,만족,발송,18
523,만족,입지,18
524,만족,쪽,18
525,만족,팬츠,18
526,만족,보라,18
527,만족,천,18
528,만족,상체,18
529,만족,인기,18
530,만족,벗,18
531,만족,만해,18
532,만족,울,18
533,만족,프리,18
534,만족,듭니다맘에듭,18
535,만족,도톰,17
536,만족,금액,17
537,만족,부들,17
538,만족,클로슈,17
539,만족,실망,17
540,만족,담,17
541,만족,올해,17
542,만족,연두색,17
543,만족,주머니,17
544,만족,일반,17
545,만족,쇼핑몰,17
546,만족,요요,17
547,만족,개인,17
548,만족,기네,17
549,만족,무배,17
550,만족,로,17
551,만족,리하,17
552,만족,가을,16
553,만족,쭉,16
554,만족,특성,16
555,만족,파,16
556,만족,추,16
557,만족,진,16
558,만족,몇번,16
559,만족,하비,16
560,만족,안감,16
561,만족,두,16
562,만족,판이,16
563,만족,바이올렛,16
564,만족,기준,16
565,만족,변형,16
566,만족,등,16
567,만족,너무나,16
568,만족,스판끼,16
569,만족,빳빳,16
570,만족,셔링,16
571,만족,베이,16
572,만족,상큼,16
573,만족,그거,16
574,만족,처럼,16
575,만족,청순,16
576,만족,조카,16
577,만족,건조기,16
578,만족,서도,16
579,만족,컬러풀,16
580,만족,중이,16
581,만족,자색,16
582,만족,듭,16
583,만족,이면,16
584,만족,바느질,15
585,만족,계절,15
586,만족,리,15
587,만족,어제,15
588,만족,하늘,15
589,만족,타임,15
590,만족,하늘색,15
591,만족,땐,15
592,만족,사장,15
593,만족,컷,15
594,만족,하얀색,15
595,만족,그림,15
596,만족,난리,15
597,만족,차콜,15
598,만족,천원,15
599,만족,까지,15
600,만족,보기,15
601,만족,염,15
602,만족,은근,15
603,만족,끌,15
604,만족,주말,15
605,만족,보풀,15
606,만족,냥,15
607,만족,저녁,15
608,만족,요새,15
609,만족,탁,15
610,만족,분홍색,15
611,만족,초,15
612,만족,나중,15
613,만족,아영,15
614,만족,키로,14
615,만족,런가,14
616,만족,혹시,14
617,만족,하의,14
618,만족,연두,14
619,만족,직접,14
620,만족,고,14
621,만족,쟁,14
622,만족,온,14
623,만족,일이,14
624,만족,단,14
625,만족,문제,14
626,만족,참고,14
627,만족,청,14
628,만족,유행,14
629,만족,결정,14
630,만족,존예,14
631,만족,예,14
632,만족,무지,14
633,만족,결혼식,14
634,만족,오렌지,14
635,만족,시간,14
636,만족,초록,14
637,만족,바,14
638,만족,늘,14
639,만족,꽤,14
640,만족,홈웨어,14
641,만족,더욱,13
642,만족,벌써,13
643,만족,은,13
644,만족,팔도,13
645,만족,어른,13
646,만족,하체,13
647,만족,낙낙,13
648,만족,교환,13
649,만족,딸아이,13
650,만족,체,13
651,만족,녀,13
652,만족,답변,13
653,만족,시해,13
654,만족,그럭저럭,13
655,만족,한텐,13
656,만족,상담,13
657,만족,규,13
658,만족,여행,13
659,만족,절대,13
660,만족,차이,13
661,만족,활용,13
662,만족,인터넷,13
663,만족,크기,13
664,만족,라벤더,13
665,만족,문의,13
666,만족,끼,13
667,만족,잘못,13
668,만족,출산,13
669,만족,편지,13
670,만족,터,13
671,만족,살껄,13
672,만족,벙벙,13
673,만족,임신,13
674,만족,핏감,13
675,만족,지인,13
676,만족,더더,12
677,만족,첫,12
678,만족,치가,12
679,만족,짐,12
680,만족,애용,12
681,만족,에어컨,12
682,만족,면티,12
683,만족,택배,12
684,만족,사감,12
685,만족,값,12
686,만족,연한,12
687,만족,지퍼,12
688,만족,연락,12
689,만족,팔통,12
690,만족,할머니,12
691,만족,도톰하,12
692,만족,단점,12
693,만족,스몰,12
694,만족,작년,12
695,만족,딥,12
696,만족,완젼,12
697,만족,스킨,12
698,만족,간절,12
699,만족,몇개,12
700,만족,은색,12
701,만족,사도,12
702,만족,그대,12
703,만족,연,12
704,만족,빨간색,12
705,만족,갑,12
706,만족,까슬까슬,12
707,만족,저희,12
708,만족,주입,12
709,만족,확정,12
710,만족,막상,12
711,만족,욧,12
712,만족,다림질,12
713,만족,글,12
714,만족,일정,12
715,만족,새,12
716,만족,반팔티,12
717,만족,어머니,11
718,만족,탓,11
719,만족,주얼,11
720,만족,분홍,11
721,만족,고요,11
722,만족,뻐,11
723,만족,감촉,11
724,만족,해주시,11
725,만족,스타,11
726,만족,아쉬움,11
727,만족,끝,11
728,만족,여리,11
729,만족,주시,11
730,만족,마르,11
731,만족,오옹,11
732,만족,모델핏,11
733,만족,욯,11
734,만족,투,11
735,만족,여행가,11
736,만족,회사,11
737,만족,레이스,11
738,만족,글씨,11
739,만족,루,11
740,만족,듭니당,11
741,만족,업,11
742,만족,딩,11
743,만족,화이팅,11
744,만족,남방,11
745,만족,애기,11
746,만족,타이트,11
747,만족,무척,11
748,만족,총알,11
749,만족,할인,11
750,만족,사은,11
751,만족,니트라,11
752,만족,쨍하,11
753,만족,무데,11
754,만족,쇼핑,11
755,만족,뭘,11
756,만족,일찍,11
757,만족,유용,11
758,만족,퓨,11
759,만족,입구,10
760,만족,거기,10
761,만족,브랜드,10
762,만족,하이,10
763,만족,듬,10
764,만족,체격,10
765,만족,제질,10
766,만족,티나,10
767,만족,녹색,10
768,만족,하하,10
769,만족,골드,10
770,만족,머스타드,10
771,만족,매장,10
772,만족,널널,10
773,만족,쉬폰,10
774,만족,모든,10
775,만족,편입,10
776,만족,관리,10
777,만족,인지,10
778,만족,초록색,10
779,만족,하진,10
780,만족,쫀쫀하,10
781,만족,센티,10
782,만족,쥬,10
783,만족,면서,10
784,만족,통풍,10
785,만족,대신,10
786,만족,자국,10
787,만족,와우,10
788,만족,갑자기,10
789,만족,덩,10
790,만족,유라,10
791,만족,봣,10
792,만족,용이,10
793,만족,단지,10
794,만족,차려,10
795,만족,주,10
796,만족,아래,10
797,만족,사각팬티,10
798,만족,자꾸,10
799,만족,정장,10
800,만족,덕분,10
801,만족,복,10
802,만족,굿굿굿,10
803,만족,요키,10
804,만족,분위기,10
805,만족,아침,10
806,만족,네,10
807,만족,누,10
808,만족,인생,10
809,만족,동일,10
810,만족,세용,10
811,만족,알록달록,10
812,만족,유,10
813,만족,아보,9
814,만족,남색,9
815,만족,레이어,9
816,만족,안해,9
817,만족,한장,9
818,만족,감기,9
819,만족,거려,9
820,만족,밑단,9
821,만족,군살,9
822,만족,고무,9
823,만족,나머지,9
824,만족,햇빛,9
825,만족,사이,9
826,만족,쥬얼,9
827,만족,매일,9
828,만족,실내,9
829,만족,괜춘,9
830,만족,파스텔,9
831,만족,스키,9
832,만족,부모님,9
833,만족,예상,9
834,만족,선택,9
835,만족,이예,9
836,만족,쪽지,9
837,만족,금박,9
838,만족,요거,9
839,만족,라임색,9
840,만족,일만,9
841,만족,이유,9
842,만족,펑,9
843,만족,새옷,9
844,만족,더위,9
845,만족,결제,9
846,만족,구가,9
847,만족,뇨,9
848,만족,딸,9
849,만족,모로,9
850,만족,닷,9
851,만족,상하,9
852,만족,핮니,9
853,만족,왓,9
854,만족,모습,9
855,만족,껏,9
856,만족,지도,9
857,만족,확인,9
858,만족,매번,9
859,만족,아가,9
860,만족,안내,9
861,만족,처,9
862,만족,초등,9
863,만족,민소매,9
864,만족,고래,9
865,만족,다소,9
866,만족,동안,9
867,만족,응대,9
868,만족,성하,9
869,만족,뉴,9
870,만족,날짜,9
871,만족,의향,9
872,만족,리본,9
873,만족,깜짝,8
874,만족,철,8
875,만족,쪼금,8
876,만족,조음,8
877,만족,랄,8
878,만족,죵,8
879,만족,쇼,8
880,만족,사탕,8
881,만족,단독,8
882,만족,무게,8
883,만족,제대로,8
884,만족,리뷰,8
885,만족,늦,8
886,만족,듀,8
887,만족,잘삿어,8
888,만족,눈,8
889,만족,장마철,8
890,만족,땜,8
891,만족,눈데,8
892,만족,롤업,8
893,만족,비닐,8
894,만족,정,8
895,만족,뻣뻣,8
896,만족,상,8
897,만족,외,8
898,만족,블링블링,8
899,만족,이뻐욤,8
900,만족,집앞,8
901,만족,취소,8
902,만족,스판기,8
903,만족,서비스,8
904,만족,예민,8
905,만족,둘레,8
906,만족,곧,8
907,만족,태,8
908,만족,꽉,8
909,만족,해해,8
910,만족,주변,8
911,만족,하자,8
912,만족,요다음,8
913,만족,여름철,8
914,만족,삿어,8
915,만족,기저귀,8
916,만족,최근,8
917,만족,며칠,8
918,만족,류,8
919,만족,설명,8
920,만족,당일,8
921,만족,장만,8
922,만족,폭,8
923,만족,넉넉,8
924,만족,종류,8
925,만족,르,8
926,만족,젛아,8
927,만족,겉,8
928,만족,작고,8
929,만족,분도,7
930,만족,부각,7
931,만족,한편,7
932,만족,슬,7
933,만족,볼륨,7
934,만족,대체로,7
935,만족,흠,7
936,만족,색갈,7
937,만족,효과,7
938,만족,하,7
939,만족,귀,7
940,만족,정리,7
941,만족,내년,7
942,만족,디테,7
943,만족,진심,7
944,만족,무슨,7
945,만족,메모,7
946,만족,전반,7
947,만족,기간,7
948,만족,자수,7
949,만족,칼,7
950,만족,사기,7
951,만족,일자,7
952,만족,판도,7
953,만족,제키,7
954,만족,구용,7
955,만족,외출,7
956,만족,별루,7
957,만족,너므,7
958,만족,데일,7
959,만족,욬,7
960,만족,존,7
961,만족,민가,7
962,만족,부츠,7
963,만족,착,7
964,만족,흐,7
965,만족,돈,7
966,만족,구멍,7
967,만족,토,7
968,만족,주위,7
969,만족,조만간,7
970,만족,힙,7
971,만족,어어,7
972,만족,천은,7
973,만족,구겨,7
974,만족,이용,7
975,만족,겨우,7
976,만족,뽀,7
977,만족,적합,7
978,만족,물론,7
979,만족,행사,7
980,만족,요건,7
981,만족,값어치,7
982,만족,대서,7
983,만족,코,7
984,만족,달리,7
985,만족,워,7
986,만족,패턴,7
987,만족,센스,7
988,만족,가타,7
989,만족,확,7
990,만족,비갑,7
991,만족,다가,7
992,만족,사실,7
993,만족,헐렁,7
994,만족,뎅,7
995,만족,코코,7
996,만족,껄,7
997,만족,뽕,7
998,만족,작,7
999,만족,드레스,7
1000,만족,폼,7
1001,만족,오오오,7
1002,만족,파이,7
1003,만족,얼마,7
1004,만족,조아영,7
1005,만족,핏되,7
1006,만족,전부,7
1007,만족,버젼,7
1008,만족,이름,7
1009,만족,매,7
1010,만족,너뮤,7
1011,만족,까슬거리,7
1012,만족,쪼,7
1013,만족,버전,7
1014,만족,생가,6
1015,만족,딛,6
1016,만족,깃,6
