만족도,단어,빈도수
312,만족,예전,203
313,만족,체크,202
314,만족,목,201
315,만족,사고,199
316,만족,가지,198
317,만족,진작,198
318,만족,보이,198
319,만족,재질,195
320,만족,세트,195
321,만족,온,194
322,만족,인터넷,193
323,만족,마,193
324,만족,디,193
325,만족,모양,193
326,만족,차이,192
327,만족,허리,192
328,만족,약,192
329,만족,유용,191
330,만족,대가,191
331,만족,아기,189
332,만족,도움,188
333,만족,크림,188
334,만족,무게,188
335,만족,눈,187
336,만족,안심,187
337,만족,공간,187
338,만족,나름,186
339,만족,수제,185
340,만족,이유,185
341,만족,울,184
342,만족,위해,184
343,만족,이월,183
344,만족,설명,181
345,만족,샘플,181
346,만족,색도,181
347,만족,각도,181
348,만족,양,180
349,만족,줄,180
350,만족,종아리,180
351,만족,몸무게,178
352,만족,자리,178
353,만족,건,178
354,만족,기호,176
355,만족,아침,176
356,만족,앱,174
357,만족,나중,172
358,만족,평소,172
359,만족,손목,170
360,만족,주변,169
361,만족,전체,169
362,만족,속도,168
363,만족,혹시,168
364,만족,로,168
365,만족,신경,167
366,만족,필터,167
367,만족,바,167
368,만족,젤,166
369,만족,몇번,166
370,만족,두,166
371,만족,어디,165
372,만족,자,165
373,만족,무,165
374,만족,환,164
375,만족,무난,164
376,만족,전혀,163
377,만족,확인,163
378,만족,작고,163
379,만족,트릿,162
380,만족,향,162
381,만족,막,161
382,만족,주시,161
383,만족,코,160
384,만족,아가,159
385,만족,뭔가,159
386,만족,마도,158
387,만족,케이블,157
388,만족,분사,157
389,만족,종류,157
390,만족,단점,157
391,만족,밀대,157
392,만족,만년필,156
393,만족,혈당,156
394,만족,건강,156
395,만족,이유식,156
396,만족,양도,156
397,만족,펫,156
398,만족,로스,155
399,만족,직접,154
400,만족,벌써,154
401,만족,뒤,153
402,만족,몸,152
403,만족,제대로,152
404,만족,담,152
405,만족,사업,152
406,만족,미리,152
407,만족,블루투스,151
408,만족,배,150
409,만족,차지,150
410,만족,여러가지,149
411,만족,대쉬보드,149
412,만족,자체,149
413,만족,사실,148
414,만족,운전,148
415,만족,워낙,148
416,만족,엔진오일,147
417,만족,끈,146
418,만족,고,146
419,만족,분리수거,146
420,만족,퀄리티,145
421,만족,비교,145
