만족도,단어,빈도수
314,만족,공간,133
315,만족,성분,133
316,만족,실리콘,133
317,만족,어린이집,132
318,만족,쭉,132
319,만족,자,131
320,만족,바퀴,130
321,만족,리,130
322,만족,그대로,130
323,만족,숟가락,129
324,만족,우선,129
325,만족,판매,129
326,만족,울,129
327,만족,무게,129
328,만족,영양,128
329,만족,왜,127
330,만족,먹기,127
331,만족,기능,127
332,만족,택배,127
333,만족,쿨,126
334,만족,처리,125
335,만족,캡,124
336,만족,용량,124
337,만족,크게,124
338,만족,가장,123
339,만족,산,123
340,만족,실용,122
341,만족,트,122
342,만족,만,122
343,만족,의사,122
344,만족,재,122
345,만족,옷,121
346,만족,직접,121
347,만족,너,121
348,만족,거부,120
349,만족,릿첼,120
350,만족,신기,119
351,만족,기대,119
352,만족,밥,119
353,만족,덕분,118
354,만족,블랙,118
355,만족,차,117
356,만족,유리,117
357,만족,바닥,117
358,만족,대만,116
359,만족,머머,116
360,만족,유,115
361,만족,오,115
362,만족,청소,115
363,만족,간식,114
364,만족,날씨,114
365,만족,물기,113
366,만족,달,113
367,만족,편,113
368,만족,기본,113
369,만족,동생,113
370,만족,타,113
371,만족,젤,113
372,만족,밑,113
373,만족,얼른,112
374,만족,목,112
375,만족,매쉬,112
376,만족,세척,111
377,만족,행사,110
378,만족,년,110
379,만족,벌써,110
380,만족,자기,109
381,만족,세제,109
382,만족,손수건,109
383,만족,길이,109
384,만족,뚜껑,109
385,만족,무,109
386,만족,거의,109
387,만족,양,108
388,만족,구,108
389,만족,육아,108
390,만족,컵홀더,107
391,만족,쏙,107
392,만족,여러가지,106
393,만족,점점,106
394,만족,사고,105
395,만족,도톰하,105
396,만족,이상,105
397,만족,결정,105
398,만족,일반,105
399,만족,부품,104
400,만족,피부,104
401,만족,특가,104
402,만족,여자,104
403,만족,에어라이너,104
404,만족,주변,103
405,만족,그,103
406,만족,화이트,103
407,만족,통,103
408,만족,선택,103
409,만족,용이,102
410,만족,외출,102
411,만족,끝,102
412,만족,품절,102
413,만족,신하,102
414,만족,벨라,101
415,만족,에드,101
416,만족,컬러,101
417,만족,실물,101
418,만족,원단,100
419,만족,대용,100
420,만족,화면,100
421,만족,몸,99
422,만족,키,98
423,만족,둘,98
424,만족,손잡이,98
425,만족,잠,98
426,만족,내년,97
427,만족,문,96
428,만족,쇼파,95
429,만족,건,95
430,만족,여기저기,94
431,만족,양도,94
432,만족,수저,94
433,만족,맘에듭니,94
434,만족,설치,94
435,만족,한장,94
436,만족,달라,92
437,만족,마더,91
438,만족,마감,91
439,만족,엠보싱,91
440,만족,다행,90
441,만족,티,90
442,만족,나름,89
443,만족,쪽,89
444,만족,차병원,89
445,만족,모로,89
446,만족,수납,89
447,만족,용품,88
448,만족,위,88
449,만족,월,88
450,만족,애가,88
451,만족,담,88
452,만족,인터넷,88
453,만족,후회,87
454,만족,자극,87
455,만족,디럭스,86
456,만족,차이,86
457,만족,이즈,86
458,만족,부들부들,85
459,만족,먼지,85
460,만족,안정감,85
461,만족,사이,85
462,만족,모기,85
463,만족,타고,85
464,만족,촉감,84
465,만족,응,84
466,만족,언니,84
467,만족,신,83
468,만족,조절,83
469,만족,서도,83
470,만족,블랭킷,83
471,만족,줄,83
472,만족,새,82
473,만족,보지,82
474,만족,대박,82
475,만족,높이,82
476,만족,단점,81
477,만족,기저귀,81
478,만족,자리,81
479,만족,보통,81
480,만족,꿀잠,81
481,만족,흰색,81
482,만족,시작,81
483,만족,매,81
484,만족,템,80
485,만족,일이,80
486,만족,금액,80
487,만족,더욱,80
488,만족,남아,79
489,만족,활용,79
490,만족,적응,79
491,만족,어제,78
492,만족,가로,78
493,만족,신발,77
494,만족,딸아이,77
495,만족,로,77
496,만족,무지,77
497,만족,엽산,77
498,만족,자세,77
499,만족,그릇,77
500,만족,이틀,76
501,만족,스케,76
502,만족,끼,76
503,만족,비교,76
504,만족,호환,76
505,만족,수유,76
506,만족,무리,76
507,만족,고,75
508,만족,빨래,75
509,만족,덧신,75
510,만족,락,75
511,만족,판이,75
512,만족,삿,75
513,만족,도움,75
514,만족,필수,75
515,만족,부피,75
516,만족,득템,74
517,만족,사실,74
518,만족,모자,74
519,만족,신겨,74
520,만족,중이,74
521,만족,눈,74
522,만족,양쪽,74
523,만족,노랑,73
524,만족,봄,73
525,만족,구멍,73
526,만족,나니,73
527,만족,아내,73
528,만족,애용,73
529,만족,베이비,73
530,만족,매일,73
531,만족,어른,73
532,만족,땐,73
533,만족,종류,72
534,만족,바운,72
535,만족,링고,72
536,만족,보기,72
537,만족,핑크색,71
538,만족,안고,71
539,만족,고해,71
540,만족,여유,71
541,만족,제로,71
542,만족,누,71
543,만족,기간,70
544,만족,민트,70
545,만족,조리,70
546,만족,어디,70
547,만족,아이템,68
548,만족,실제,68
549,만족,심플,68
550,만족,진,68
551,만족,수월,68
552,만족,머,67
553,만족,효과,67
554,만족,겨울,67
555,만족,함,66
556,만족,한쪽,66
557,만족,살껄,66
558,만족,나사,66
559,만족,중기,66
560,만족,서비스,65
561,만족,받침,65
562,만족,티슈,65
563,만족,해도,65
564,만족,믿음,64
565,만족,테일즈,64
566,만족,예전,64
567,만족,폭신폭,64
568,만족,자체,64
569,만족,전혀,64
570,만족,거리,64
571,만족,비타민,64
572,만족,쉬카,64
573,만족,전체,64
574,만족,발라,64
575,만족,필요,64
576,만족,동안,63
577,만족,자고,63
578,만족,해피,63
579,만족,철분,63
580,만족,두,62
581,만족,얼마,62
582,만족,고급,62
583,만족,꽤,62
584,만족,소리,62
585,만족,드,62
586,만족,글,62
587,만족,무거워,62
588,만족,열,62
589,만족,퀄리티,62
590,만족,끈,62
591,만족,신경,61
592,만족,중간,61
593,만족,복용,61
594,만족,별,61
595,만족,안해,61
596,만족,몇번,61
597,만족,플라스틱,61
598,만족,온,61
599,만족,에어,61
600,만족,주시,60
601,만족,툼,60
602,만족,바지,60
603,만족,책,60
604,만족,요요,60
605,만족,차지,60
606,만족,가드,60
607,만족,톡톡,59
608,만족,그것,59
609,만족,모빌,59
610,만족,그림,58
611,만족,교체,58
612,만족,너무나,58
613,만족,두루,58
614,만족,미니,58
615,만족,소문,58
616,만족,평소,57
617,만족,거즈,57
618,만족,보관,57
619,만족,사계절,57
620,만족,여행,57
621,만족,불소,57
622,만족,껄,57
623,만족,회사,57
624,만족,첨,56
625,만족,패드,56
626,만족,뭔가,56
627,만족,양치,56
628,만족,가끔,55
629,만족,주말,55
630,만족,선반,55
631,만족,살걸,55
632,만족,잠깐,55
633,만족,밤,55
634,만족,최저,55
635,만족,톤,54
636,만족,영,54
637,만족,둥이,54
638,만족,사려,54
639,만족,먼저,54
640,만족,사이트,54
641,만족,교환,54
642,만족,팔,54
643,만족,팩,54
644,만족,요거,53
645,만족,남자,53
646,만족,식,53
647,만족,티비,53
648,만족,올여름,53
649,만족,직하,53
650,만족,면도,53
651,만족,아빠,53
652,만족,얼굴,53
653,만족,리필,53
654,만족,맛,53
655,만족,그린,53
656,만족,오히려,53
657,만족,소프트,52
658,만족,스틱,52
659,만족,끌,52
660,만족,그게,52
661,만족,시원,52
662,만족,아래,52
663,만족,하자,52
664,만족,약,52
665,만족,봣,51
666,만족,작살,51
667,만족,를,51
668,만족,돈,51
669,만족,뿌,51
670,만족,디,51
671,만족,완료,50
