단어,빈도수합계
405,음질,837
406,동생,830
407,끝,887
408,디,830
409,꽤,842
410,두,831
411,무선,850
412,성분,816
413,귀걸이,843
414,사무실,810
415,속,837
416,빵빵,800
417,브랜드,812
418,밴드,847
419,임,912
420,소음,839
421,화장,819
422,별,822
423,단,821
424,즙,787
425,실물,813
426,폰,822
427,칼,804
428,주변,775
429,방지,784
430,어디,791
431,지갑,774
432,일주일,883
433,에드,774
434,병,768
435,손잡이,794
436,쪽,895
437,톤,788
438,여기저기,765
439,질도,756
440,숲,742
441,남자친구,743
442,정사,827
443,첫,757
444,하자,809
445,주시,764
446,정리,761
447,휴대,746
448,옆,796
449,개인,788
450,저녁,745
451,핏,826
452,땀,745
453,진작,725
454,문,765
455,실제,777
456,겨울,729
457,솜,748
458,촉감,746
459,두유,731
460,사실,746
461,선,779
462,여러가지,721
463,양말,737
464,바지,761
465,음,891
466,교체,716
467,몇번,748
468,출산,701
469,밑,774
470,끼,736
471,혹시,712
472,쏙,699
473,아빠,707
474,일리,723
475,대신,712
476,부착,740
477,교환,868
478,연결,763
479,선택,709
480,내,731
481,패드,753
482,도톰,683
483,돈,748
484,어제,687
485,화질,693
486,봄,711
487,나무,756
488,고무,711
489,스푼,669
490,바퀴,737
491,원단,724
492,첨,681
493,흡착,692
494,뚜껑,735
495,드,685
496,소세지,665
497,자극,677
498,다행,687
499,받침,739
500,용도,669
501,영,727
502,밥,656
503,맘에듭니,666
504,접착,709
505,할인,671
506,비교,657
507,신고,678
508,체중,651
509,목뼈,628
510,신하,642
511,해도,675
512,일이,685
513,무지,649
514,안해,657
515,무릎,658
516,제대로,712
517,미세먼지,620
518,청소,614
519,실용,640
520,약,654
521,새,689
522,원,681
523,필요,623
524,그거,667
525,그것,656
526,발림,637
527,모니터,612
528,와이프,610
529,부들부들,629
530,손목,633
531,코,624
532,불량,766
533,쇼파,637
534,저번,615
535,물이,652
536,종류,611
537,서도,614
538,신어,656
539,땐,626
540,더욱,603
541,사업,593
542,마,604
543,확인,682
544,터치,681
545,안심,585
546,미끄럼,595
547,비누,607
548,배송비,669
549,고속,625
550,중간,636
551,지고,586
552,머,618
553,반,627
554,애용,574
555,털,631
556,스타일,616
557,용이,595
558,양배추,576
559,반지,589
560,두피,613
561,먼저,593
562,적응,602
563,추,577
564,글,626
565,석류,574
566,문의,654
567,포인트,577
568,대용,572
569,타임,561
570,방수,582
571,파시,561
572,무늬,584
573,공기,596
574,또한,563
575,노트북,577
576,너무나,573
577,기간,604
578,살이,582
579,현관,552
580,컴퓨터,562
581,지속,580
582,주신,555
583,까지,570
584,물론,563
585,샘플,558
586,진,566
587,조,572
588,조카,547
589,가끔,556
590,갑,544
591,정품,564
592,만해,670
593,관리,545
594,몇개,549
595,남자,559
596,무리,539
597,아버지,535
598,걸이,550
599,임신,525
600,인치,540
601,월,603
602,날씨,533
603,방법,544
604,아이보리,589
605,젤리,556
606,필름,570
607,트,544
608,자리,539
609,원목,538
610,감동,516
611,딸,530
612,삿,529
613,은,561
614,총알,513
615,믿음,514
616,오리,518
617,품절,530
618,커튼,539
619,여유,523
620,울,507
621,작,509
622,움,553
623,곧,507
624,세번,505
625,이정,512
626,각도,527
627,중이,520
628,얼마,539
629,링,534
630,얼른,494
631,모든,505
632,풀업,489
633,소화기,490
634,터,500
635,사면,504
636,매장,499
637,밤,502
638,마트,497
639,빛,519
640,마스크,507
641,둘째,498
642,주말,509
643,및,513
644,생일,483
645,베란다,489
646,상담,507
647,며칠,528
648,오히려,510
649,구멍,620
650,이구,496
651,발볼,538
652,봣,498
653,실,511
654,대가,517
655,작고,512
656,전화,572
657,사려,479
658,냥,612
659,무척,486
660,테스트,494
661,삿는데,485
662,금액,501
663,모델,529
664,여성,482
665,자세,471
666,기한,476
667,삼각대,467
668,핸드,462
669,엉덩이,528
670,집안,468
671,동안,482
672,그게,495
673,결,479
674,매,471
675,훈제,465
676,테이블,462
677,선크림,464
678,충전기,485
679,이전,466
680,확,475
681,제모,504
682,거기,463
683,걸레,459
684,제거,472
685,결과,470
686,필수,454
687,트러블,460
688,신분,487
689,결정,453
690,연락,578
691,를,465
692,개운,451
693,레드,487
694,아이피,437
695,기계,447
696,오오,450
697,고해,450
698,게임,449
699,휴대폰,455
700,가루,485
701,보관,447
702,욤,464
703,반품,695
704,쇼핑,448
705,안정감,446
706,복용,435
707,경우,456
708,무거워,485
709,뼈,441
710,유통,445
711,라면,442
712,구두,448
713,문자,483
714,팔,462
715,사이,452
716,반신반의,425
717,쭉,430
718,목욕,431
719,골드,452
720,신기,458
721,사이트,433
722,검정,439
723,쫌,491
724,막걸리,430
725,오일,425
726,려,470
727,굿굿굿,420
728,케이블,452
729,측정,434
730,첨가,428
731,옹,428
732,에서,415
733,얼마나,428
734,탄탄,419
735,턱걸이,408
736,네이버,418
737,머릿결,413
738,프리미엄,416
739,향기,430
740,배터리,422
741,득템,408
742,착,432
743,만큼,461
744,국민,406
745,플라스틱,456
746,네,416
747,라인,446
748,고기,407
749,봉,455
750,민감,433
751,누,414
752,값,435
753,어플,407
754,브라운,414
755,가로,425
756,장갑,413
757,실리콘,414
758,템,398
759,초,403
760,그린,419
761,파,409
762,차지,397
763,콘서트,390
764,파우치,394
765,술,424
766,동영상,400
767,신,423
768,시중,393
769,네이비,406
770,마우스,410
771,무료,401
772,스카프,393
773,지도,402
774,오프라인,389
775,가구,414
776,검정색,401
777,상자,415
778,스틱,403
779,두툼,389
780,안전,393
781,염,403
782,일만,422
783,발도,385
784,일정,425
785,무조건,390
786,발송,425
787,뻑뻑,427
788,소문,387
789,참고,416
790,행사,380
791,보람,383
792,모,392
793,용기,377
794,이만,381
795,물기,387
796,신생아,382
797,톡톡,383
798,살걸,395
799,삐,384
800,나사,486
801,모자,403
802,스티커,421
803,상큼,377
804,견고,381
805,책장,391
806,아아,375
807,유리,390
808,칼로리,376
809,책,369
810,인,380
811,카,367
812,현상,402
813,잘못,434
814,첫째,365
815,러그,362
816,안정,369
817,시트,391
818,성도,370
819,삼성,369
820,외,405
821,나니,377
822,수분,377
823,아이폰,381
824,입맛,399
825,화장실,365
826,사장,363
827,풀,390
828,장점,386
829,아래,395
830,흠,412
831,막상,379
832,오후,367
833,이지,368
834,대요,371
835,인기,358
836,바구니,355
837,길,366
838,답변,392
839,치수,393
840,임산부,361
841,뿌,366
842,처,367
843,짐,377
844,외장하드,349
845,빨대,366
846,양치,351
847,이벤트,353
848,모로,353
849,소시지,347
850,배달,392
851,몸무게,366
852,꽉,384
853,인생,349
854,블루투스,361
855,직하,353
856,회색,370
857,마리,352
858,요요,364
859,깜짝,359
860,도착,373
861,미니,352
862,강력,342
863,질감,371
864,당면,344
865,날짜,374
866,연휴,367
867,밀리,353
868,돌,352
869,블루,352
870,괜,362
871,소파,377
872,멀리,349
873,지연,381
874,절대,376
875,왓,379
876,공,354
877,바디,344
878,최저,338
879,전부,357
880,영양,334
881,해외,354
882,연동,340
883,언니,350
884,양념,365
885,천연,340
886,이용,348
887,자기,346
888,지지,374
889,설정,340
890,난리,342
891,콩,341
892,언제,373
893,은근,343
894,우유,335
895,안마,335
896,발바닥,361
897,얼,331
898,호텔,330
899,야채,351
900,성비,329
901,런가,376
902,겸,329
903,기회,326
904,이사,338
905,자국,395
906,북어,325
907,사운드,337
908,개봉,360
909,강,327
910,당일,351
911,결제,334
912,고양이,324
913,폼,347
914,어른,335
915,각질,338
916,젠,322
917,잠,325
918,라이너,319
919,이면,348
920,고요,331
921,장난,344
922,여행가,326
923,푹,336
924,쇼,328
925,자연,323
926,부피,327
927,질리,317
928,샘,330
929,어어,326
930,점점,321
931,채,343
932,적,328
933,신해,332
934,검은색,337
935,싸구려,348
936,오메가,311
937,그럭저럭,487
938,체크,322
939,피,324
940,난,328
941,남아,324
942,보이지,322
943,불,326
944,세척,316
945,펌프,321
946,포,309
947,가드,319
948,냉동,314
949,베리,307
950,달달,317
951,근육,310
952,욧,310
953,폭신폭,305
954,광고,330
955,활용,307
956,초기,312
957,예민,318
958,아이템,303
959,침구,302
960,핑크색,309
961,오전,310
962,보시,310
963,워,339
964,센스,302
965,두운,330
966,완료,339
967,위생,299
968,카드,302
969,분도,307
970,인지,325
971,쿨,311
972,열,314
973,주스,297
974,음식,301
975,악세사리,310
976,신세계,300
977,겨,313
978,현재,307
979,물품,318
980,안보,314
981,확정,370
982,가게,298
983,겉,329
984,탄산,326
985,거부,294
986,작년,297
987,치마,323
988,마늘,287
989,매콤,297
990,쫀쫀,296
991,소독,291
992,적임,296
993,준비,294
994,장만,289
995,주위,286
996,종아리,303
997,애매,332
998,게이,295
999,천,307
1000,떡,315
1001,평보,314
1002,특,287
1003,한참,301
1004,파손,325
1005,직,291
1006,향수,291
1007,다소,315
1008,보호,310
1009,루,295
1010,보조,295
1011,무슨,322
1012,규,283
1013,몇,283
1014,층,293
1015,비닐,332
1016,싹,284
1017,한쪽,334
1018,차단,286
1019,바퀴벌레,288
1020,실버,289
1021,명,283
1022,자전거,290
1023,의향,278
1024,판,305
1025,인바디,306
1026,뉴,276
1027,쿨링,282
1028,불빛,281
1029,범퍼,285
1030,타입,285
1031,아직까지,292
1032,연습,282
1033,찌,339
1034,민트,282
1035,만족도,286
1036,그동안,275
1037,자고,279
1038,리모컨,283
1039,욥,283
1040,수도,287
1041,기름,299
1042,요거,273
1043,주기,277
1044,잠깐,280
1045,갑자기,282
1046,브리츠,277
1047,기준,306
1048,노랑,288
1049,법,290
1050,버튼,315
1051,손님,272
1052,입안,272
1053,밍,282
1054,함량,271
1055,굳이,275
1056,썬크림,275
1057,여자친구,270
1058,기스,347
1059,구김,300
1060,위치,297
1061,진심,270
1062,하,283
1063,업,276
1064,이후,276
1065,한가지,274
1066,프로,269
1067,남친,269
1068,각,285
1069,필,267
1070,방석,277
1071,상,287
1072,려고,268
1073,지성,276
1074,정,295
1075,시원,273
1076,퓨,266
1077,먹이,264
1078,린스,266
1079,처럼,278
1080,노,275
1081,칸,286
1082,화이팅,258
1083,만하,273
1084,딸아이,263
1085,안쪽,304
1086,요새,261
1087,보이차,270
1088,통증,269
1089,내용물,290
1090,강도,278
1091,마자,275
1092,타고,260
1093,보습,266
1094,소,263
1095,편입,283
1096,포만,266
1097,다가,269
1098,좌,273
1099,식사,253
1100,컵,262
1101,스마트폰,258
1102,일찍,265
1103,퍽퍽,260
1104,맨,262
1105,통째,257
1106,안방,257
1107,인식,275
1108,욕조,258
1109,부품,308
1110,장난감,261
1111,류,256
1112,는걸,272
1113,플러스,262
1114,건조,264
1115,건성,270
1116,작업,264
1117,와인,251
1118,실망,387
1119,식,271
1120,림,276
1121,드디어,257
1122,주름,277
1123,치,268
1124,마침,249
1125,마무리,281
1126,가요,297
1127,발색,273
1128,메모리,259
1129,청바지,258
1130,듭,252
1131,청소기,250
1132,살껄,275
1133,입냄새,244
1134,리뷰,257
1135,코털,250
1136,굽,257
1137,스트레칭,253
1138,왁스,250
1139,과,251
1140,붙이,263
1141,수제,242
1142,매하,248
1143,모습,243
1144,일자,261
1145,환,244
1146,밀착,259
1147,동봉,255
1148,최근,248
1149,순간,255
1150,이름,256
1151,합,254
1152,멸치,241
1153,하하,248
1154,고리,256
1155,면도,252
1156,앱,255
1157,트리트먼트,242
1158,시작,248
1159,립,244
1160,옵션,257
1161,잡고,254
1162,훨,244
1163,어차피,251
1164,비도,239
1165,송,242
1166,밖,256
1167,먹음,244
1168,뭘,241
1169,외관,250
1170,오래오래,236
1171,나머지,260
1172,차콜,246
1173,남,269
1174,김치,240
1175,베이지색,256
1176,쌀국수,232
1177,방문,240
1178,제발,246
1179,군데,263
1180,종일,248
1181,내내,233
1182,중국,248
1183,대한,264
1184,삿어,236
1185,르,239
1186,세상,234
1187,염증,234
1188,아담,235
1189,눈금,237
1190,지난번,239
1191,두루,236
1192,로우,235
1193,곤약,253
1194,나시,234
1195,루테,229
1196,복,238
1197,요다음,230
1198,원룸,236
1199,껄,238
1200,수월,229
1201,뿐,242
1202,린넨,260
1203,로션,238
1204,내일,240
1205,송아지,227
1206,갠,253
1207,아쉬움,272
1208,벽,232
1209,양쪽,259
1210,손가락,241
1211,센터,250
1212,러,229
1213,이나,245
1214,염색,250
1215,가면,229
1216,친정,225
1217,유기농,227
1218,액정,257
1219,듀얼,230
1220,단맛,239
1221,육포,227
1222,톤업,234
1223,투,235
1224,단지,232
1225,하나로,234
1226,안테나,221
1227,소스,243
1228,탄력,230
1229,아예,250
1230,비타민,222
1231,묵,227
1232,전반,240
1233,국물,234
1234,대도,234
1235,표시,234
1236,하진,250
1237,그때,218
1238,도로,230
1239,강화유리,245
1240,비데,221
1241,대로,235
1242,탓,237
1243,덕,231
1244,짜증,282
1245,직원,231
1246,헤어,231
1247,기장,259
1248,운동화,224
1249,사계절,217
1250,틴트,227
1251,백화점,221
1252,합리,220
1253,대서,228
1254,하라,238
1255,테이프,268
1256,도톰하,221
1257,천원,260
1258,외출,224
1259,루테인,221
1260,아영,222
1261,여러분,221
1262,신호,220
1263,자취,218
1264,칼라,222
1265,은색,236
1266,찍,217
1267,아보,216
1268,화장품,223
1269,양호,221
1270,베이스,225
1271,부위,233
1272,계절,222
1273,취향,217
1274,사기,218
1275,사도,225
1276,매트리스,222
1277,원액,211
1278,잔,218
1279,모서리,272
1280,국산,216
1281,방식,217
1282,애가,217
1283,가정,215
1284,급,219
1285,장착,221
1286,벨트,225
1287,집들이,214
1288,어서,220
1289,카시트,216
1290,탈,216
1291,대량,206
1292,가능,214
1293,전원,228
1294,팔걸이,278
1295,정성,206
1296,이뿌,206
1297,암막,213
1298,다운,225
1299,볼때,210
1300,마시기,211
1301,당황,243
1302,기기,212
1303,지네,224
1304,식품,208
1305,에어,219
1306,식감,218
1307,발목,230
1308,방향,223
1309,개별,214
1310,토요일,211
1311,양피,223
1312,제조,210
1313,수준,234
1314,응대,214
1315,생기,211
1316,땜,214
1317,부,231
1318,조만간,202
1319,랄,216
1320,반응,209
1321,입술,213
1322,어머님,202
1323,보라색,216
1324,대체,222
1325,된거,217
1326,대여,202
1327,완젼,207
1328,공부,205
1329,캡,209
1330,커피,200
1331,부터,205
1332,젖병,203
1333,업체,232
1334,스프레이,203
1335,등등,201
1336,덧,204
1337,노란색,211
1338,수건,200
1339,손편지,199
1340,사과,216
1341,향기도,200
