만족도,단어,빈도수
312,만족,테스트,136
313,만족,드,134
314,만족,카드,134
315,만족,색도,133
316,만족,필요,133
317,만족,전이,133
318,만족,단,132
319,만족,고,131
320,만족,애,131
321,만족,를,131
322,만족,이틀,130
323,만족,보조,130
324,만족,먼지,129
325,만족,필립스,129
326,만족,부모님,129
327,만족,남편,129
328,만족,진작,127
329,만족,교환,127
330,만족,신랑,126
331,만족,이유,126
332,만족,사고,124
333,만족,리,124
334,만족,팬,124
335,만족,이전,124
336,만족,건,124
337,만족,장,124
338,만족,꽤,123
339,만족,또한,123
340,만족,보기,123
341,만족,나중,123
342,만족,작고,122
343,만족,스마트폰,122
344,만족,직접,122
345,만족,볼,122
346,만족,공간,121
347,만족,비교,120
348,만족,뒤,120
349,만족,맛,120
350,만족,워낙,120
351,만족,임,119
352,만족,혼자,119
353,만족,책상,118
354,만족,의사,117
355,만족,사실,117
356,만족,헤드셋,117
357,만족,피시방,117
358,만족,축,117
359,만족,음,116
360,만족,끝,116
361,만족,에드,116
362,만족,별,115
363,만족,총알,114
364,만족,카메라,113
365,만족,다행,112
366,만족,확인,112
367,만족,선풍기,111
368,만족,배,111
369,만족,위,110
370,만족,호,110
371,만족,사업,109
372,만족,두번째,109
373,만족,등,109
374,만족,요조,108
375,만족,민감,108
376,만족,충전기,108
377,만족,요즘,108
378,만족,휴대,107
379,만족,벽,107
380,만족,어제,107
381,만족,온,106
382,만족,어디,106
383,만족,및,106
384,만족,현상,104
385,만족,머,104
386,만족,보통,104
387,만족,보지,104
388,만족,갤럭시,103
389,만족,면,103
390,만족,고정,103
391,만족,달,102
392,만족,지인,101
393,만족,두,101
394,만족,서비스,101
395,만족,막,101
396,만족,다리,100
397,만족,마감,100
398,만족,달라,100
399,만족,제대로,100
400,만족,내,100
401,만족,초점,99
402,만족,기기,99
403,만족,물론,99
404,만족,여행가,99
405,만족,용도,98
406,만족,그거,97
407,만족,부담,97
408,만족,콧털,96
409,만족,풀,96
410,만족,공연,96
411,만족,부착,96
412,만족,원룸,96
413,만족,성비,95
414,만족,타,95
415,만족,선택,95
416,만족,거치,95
417,만족,테라,94
418,만족,채널,94
419,만족,뭔가,94
420,만족,음악,94
421,만족,동생,94
422,만족,모양,94
423,만족,자꾸,94
424,만족,스,94
425,만족,중소기업,93
426,만족,플러스,93
427,만족,주변,93
428,만족,에서,93
429,만족,홀더,93
430,만족,사면,92
431,만족,동영상,92
432,만족,불빛,92
433,만족,신경,92
434,만족,블랙박스,91
435,만족,지문,91
436,만족,쪽,90
437,만족,작업,90
438,만족,그대로,90
439,만족,사려,90
440,만족,터,90
441,만족,까지,89
442,만족,둘,89
443,만족,안해,89
444,만족,힘,89
445,만족,오후,89
446,만족,자리,88
447,만족,파시,88
448,만족,쿨링,88
449,만족,커브,88
450,만족,외관,88
451,만족,예정,87
452,만족,추,87
453,만족,너무나,87
454,만족,대기업,87
455,만족,조립,87
456,만족,청소,86
457,만족,나무,86
458,만족,모든,86
459,만족,안정,86
