만족도,단어,빈도수
316,만족,발리,103
317,만족,오렌지,102
318,만족,젤,101
319,만족,가장,101
320,만족,스프레이,101
321,만족,전혀,100
322,만족,기한,100
323,만족,드네,100
324,만족,분기,99
325,만족,사진,98
326,만족,걱정,98
327,만족,빛,98
328,만족,비비,97
329,만족,샤워,96
330,만족,비누,96
331,만족,가족,95
332,만족,주변,95
333,만족,워터,95
334,만족,너,95
335,만족,달라,95
336,만족,저녁,95
337,만족,갑,95
338,만족,보정,95
339,만족,화이트,94
340,만족,색감,94
341,만족,애용,94
342,만족,타입,94
343,만족,검색,93
344,만족,선,93
345,만족,족,92
346,만족,기능,92
347,만족,온,91
348,만족,봣,91
349,만족,커서,91
350,만족,오프라인,90
351,만족,임,89
352,만족,부각,89
353,만족,함,89
354,만족,여행,87
355,만족,유통,87
356,만족,나름,87
357,만족,몇번,87
358,만족,차앤박,87
359,만족,집,86
360,만족,대만,86
361,만족,바디,86
362,만족,상큼,85
363,만족,글,85
364,만족,담,85
365,만족,정력,85
366,만족,판매,83
367,만족,벨벳,82
368,만족,잡티,82
369,만족,진정,81
370,만족,밀착,81
371,만족,핸드,81
372,만족,수정,81
373,만족,코랄,81
374,만족,이틀,81
375,만족,나중,80
376,만족,팩트,80
377,만족,모발,80
378,만족,오일,80
379,만족,차이,79
380,만족,타,79
381,만족,블랙,79
382,만족,기본,78
383,만족,영,78
384,만족,어머니,78
385,만족,설명,78
386,만족,내,78
387,만족,개운,77
388,만족,워,77
389,만족,가려움,76
390,만족,음,76
391,만족,자,76
392,만족,뿌리,76
393,만족,시리즈,76
394,만족,차단,76
395,만족,끼,76
396,만족,추가,75
397,만족,지고,75
398,만족,개인,75
399,만족,건조,74
400,만족,정착,73
401,만족,시즌,73
402,만족,위,73
403,만족,택배,73
404,만족,그대로,73
405,만족,반신반의,73
406,만족,질감,73
407,만족,브랜드,72
408,만족,홈쇼핑,72
409,만족,어제,72
410,만족,세안,71
411,만족,마무리,71
412,만족,동생,71
413,만족,자체,71
414,만족,만,70
415,만족,입,70
416,만족,행사,69
417,만족,첫,68
418,만족,먼저,68
419,만족,뻑뻑,68
420,만족,이유,68
421,만족,보이,68
422,만족,신경,67
423,만족,땐,67
424,만족,움,67
425,만족,미리,67
426,만족,제조,67
427,만족,세번,67
428,만족,달,67
429,만족,며칠,66
430,만족,무향,66
431,만족,아들,66
432,만족,자외선,66
433,만족,마,66
434,만족,문제,66
435,만족,감고,66
436,만족,티,65
437,만족,밤,65
438,만족,딸,65
439,만족,비타민,64
440,만족,꽤,64
441,만족,필요,64
442,만족,대신,63
443,만족,줄,63
444,만족,디,63
445,만족,트리,63
446,만족,끝장,62
447,만족,겨드랑이,62
448,만족,해도,61
449,만족,반,61
450,만족,일주일,61
451,만족,단점,61
452,만족,전체,61
453,만족,두,61
454,만족,테스트,61
455,만족,기초,61
456,만족,용기,60
457,만족,머스크,60
458,만족,약,60
459,만족,득템,60
460,만족,쫀쫀,60
461,만족,끝,59
462,만족,로,59
463,만족,원,59
464,만족,광,59
465,만족,둘,59
466,만족,하드,59
467,만족,짐승,58
468,만족,별,58
469,만족,이구,58
470,만족,무지,58
471,만족,브라운,58
472,만족,손상,57
473,만족,뚜껑,57
474,만족,팔,57
475,만족,세팅력,57
476,만족,약산,56
477,만족,한편,56
478,만족,에드,55
479,만족,모공,55
480,만족,킹,55
481,만족,유지,55
482,만족,저번,55
483,만족,세럼,55
484,만족,드,55
485,만족,사고,55
486,만족,동안,54
487,만족,아아,54
488,만족,배,54
489,만족,드라마틱,54
490,만족,미용실,54
491,만족,맘에듭니,54
492,만족,욤,54
493,만족,광택,54
494,만족,윤기,54
495,만족,복합,54
496,만족,링,53
497,만족,려,53
498,만족,네이버,53
499,만족,쭉,53
500,만족,조,53
501,만족,크게,53
502,만족,코,53
503,만족,평보,53
504,만족,무화과,53
505,만족,중이,53
506,만족,기름기,53
507,만족,터,52
508,만족,촉촉,52
509,만족,종일,52
510,만족,뒤,52
